기준일자,KOSPI지수(종가)-REGIME0,KOSPI지수(종가)-REGIME1,KOSPI지수(종가)-REGIME2,A000270(기아-종가)-REGIME0,A000270(기아-종가)-REGIME1,A000270(기아-종가)-REGIME2,A000660(SK하이닉스-종가)-REGIME0,A000660(SK하이닉스-종가)-REGIME1,A000660(SK하이닉스-종가)-REGIME2,A005380(현대차-종가)-REGIME0,A005380(현대차-종가)-REGIME1,A005380(현대차-종가)-REGIME2,A005490(POSCO홀딩스-종가)-REGIME0,A005490(POSCO홀딩스-종가)-REGIME1,A005490(POSCO홀딩스-종가)-REGIME2,A005930(삼성전자-종가)-REGIME0,A005930(삼성전자-종가)-REGIME1,A005930(삼성전자-종가)-REGIME2,A005935(삼성전자우-종가)-REGIME0,A005935(삼성전자우-종가)-REGIME1,A005935(삼성전자우-종가)-REGIME2,A006400(삼성SDI-종가)-REGIME0,A006400(삼성SDI-종가)-REGIME1,A006400(삼성SDI-종가)-REGIME2,A035420(NAVER-종가)-REGIME0,A035420(NAVER-종가)-REGIME1,A035420(NAVER-종가)-REGIME2,A035720(카카오-종가)-REGIME0,A035720(카카오-종가)-REGIME1,A035720(카카오-종가)-REGIME2,A051910(LG화학-종가)-REGIME0,A051910(LG화학-종가)-REGIME1,A051910(LG화학-종가)-REGIME2
20160302,0.9999874203272346,1.257967213567736e-05,6.287927178685302e-13,0.00021595928402553982,0.42471074524857455,0.5750732954674518,0.9999659767373049,3.401792639345941e-05,5.336302232621587e-09,0.9999926315216388,4.780566252035883e-06,2.587912131371543e-06,6.126933193606028e-05,0.9979076002037687,0.0020311304643001846,0.999999844564397,1.5543503698352967e-07,5.721668947026495e-13,1.0000000000000009,3.2554656712557976e-41,1.219577634149923e-41,0.9067811748175633,0.09321880332250355,2.1859932195326886e-08,0.9999885074975501,1.1492494850995853e-05,7.596118212601775e-12,1.0000000000000142,3.899771375448812e-23,1.6895987167584775e-27,0.9999891050894405,1.0893740786378847e-05,1.169775275179603e-09
20160303,0.9999867183039386,1.3281695366156766e-05,6.945016165398934e-13,0.00015861520212311225,0.42471324042117986,0.575128144376749,0.9999681728180381,3.1822283461374146e-05,4.898501306037867e-09,0.9999932587070887,4.330998384991798e-06,2.410294548612242e-06,9.911896030984485e-05,0.997947512745904,0.0019533682937910896,0.9999998772441853,1.2275542968958759e-07,3.911570160818161e-13,1.0000000000000009,2.9632331057881725e-41,1.1145637772077981e-41,0.9067911628578882,0.09320881466273316,2.2479377525068584e-08,0.9999882380497105,1.1761942417289094e-05,7.869485334913136e-12,1.0000000000000142,2.5746944282120995e-23,1.0651993279363057e-27,0.9999896518636583,1.0347020298660855e-05,1.1160452704027922e-09
20160304,0.9999864911205422,1.3508878716490588e-05,7.408521293688732e-13,0.00012400022871769355,0.42474734258948177,0.5751286571818521,0.9999686535567903,3.134174715959683e-05,4.69605091582504e-09,0.9999935218600396,4.184191493739848e-06,2.293948488811461e-06,0.00014124078267568435,0.9979823441078483,0.001876415109480722,0.9999998801074403,1.1989225851357483e-07,3.072487289284824e-13,1.0000000000000009,2.9466505768508947e-41,1.1203889507820193e-41,0.9068115686990857,0.09318840813057029,2.3170342907810766e-08,0.9999880321415824,1.1967850327918649e-05,8.087178935782505e-12,1.0000000000000142,1.8148173336686633e-23,6.443365367330729e-28,0.9999912092266344,8.789833903138276e-06,9.394646770909608e-10
20160307,0.9999863928095054,1.3607189728754817e-05,7.654910937622895e-13,9.189339520301542e-05,0.42475450157419836,0.5751536050306503,0.9999677308738624,3.226440484821074e-05,4.721290424037172e-09,0.9999936836248614,4.054547505638939e-06,2.261827655242198e-06,0.000171473037573437,0.9980281364293718,0.001800390533059561,0.9999998811647645,1.1883495837957251e-07,2.831816656162164e-13,1.0000000000000009,2.9368015260643454e-41,1.1126375760560252e-41,0.906845406149847,0.09315457091410712,2.2936044912404384e-08,0.9999878895353733,1.2110456348109306e-05,8.276014964636725e-12,1.0000000000000142,1.4082841172917602e-23,4.156552036350806e-28,0.9999916014520261,8.397642097445215e-06,9.058786367622132e-10
20160308,0.9999865052829192,1.3494716309947623e-05,7.7056924904092e-13,6.41782231064516e-05,0.42476288355862724,0.5751729382183178,0.9999650342533125,3.496066517405473e-05,5.081514657223555e-09,0.9999931324074146,4.409959267583517e-06,2.4576333398307986e-06,0.00019345231111969356,0.9980813781643303,0.0017251695245548036,0.9999998519220372,1.480776343994134e-07,3.3441923841828687e-13,1.0000000000000009,3.06271817130886e-41,1.1577431792857277e-41,0.9068893800243211,0.09311059706054958,2.2915128335081487e-08,0.9999876200862073,1.2379905182085135e-05,8.607981476993753e-12,1.0000000000000142,1.2282512529294046e-23,3.1354388422683925e-28,0.9999919516807235,8.047447693241968e-06,8.715853673748081e-10
20160309,0.9999861123069181,1.3887692295412517e-05,7.863012622657232e-13,3.875465308628435e-05,0.4247186205146466,0.5752426248323186,0.9999632127896055,3.678184866029336e-05,5.361735406156032e-09,0.9999925287052119,4.80770553515403e-06,2.663589275038974e-06,0.0001782371616253412,0.9981708939986619,0.0016508688397174956,0.9999998555943423,1.4440527005940674e-07,3.936429046437118e-13,1.0000000000000009,3.252057217504429e-41,1.2409504041016233e-41,0.9069432038984808,0.09305677314288961,2.2958628452473103e-08,0.9999872284590746,1.2771531852062181e-05,9.070496720155315e-12,1.0000000000000142,1.0790975206643626e-23,2.5717545465390886e-28,0.9999922516324421,7.747529756071772e-06,8.378036259982095e-10
20160310,0.9999853701334407,1.462986572844205e-05,8.306971118521294e-13,2.9926863505522912e-05,0.42475125302180017,0.5752188201147459,0.9999615910907325,3.8403294092657424e-05,5.615176066746063e-09,0.9999927039043937,4.644259787204698e-06,2.6518358410587655e-06,0.00017633111051685966,0.9982467166259609,0.0015769522635272612,0.999999890029162,1.0997052411073331e-07,3.197873077417908e-13,1.0000000000000009,2.990267776059415e-41,1.1319707055997961e-41,0.9070067413905462,0.09299323567898432,2.2930468402130524e-08,0.9999866896138965,1.3310376445288803e-05,9.655528671533483e-12,1.0000000000000142,9.510132382812533e-24,2.1104174367179433e-28,0.9999923081242859,7.691050297720046e-06,8.254180525481425e-10
20160311,0.9999849285724146,1.5071426704860275e-05,8.804455187093005e-13,2.4031451400588177e-05,0.4247532096740332,0.5752227588746176,0.9999604137990366,3.958042858612027e-05,5.7723784959895226e-09,0.9999925010327738,4.79878922609397e-06,2.7001780220839834e-06,0.00015932241517075917,0.9983371575879431,0.0015035199968910827,0.9999999118443987,8.815539146865718e-08,2.1583011103500002e-13,1.0000000000000009,2.8546656342749787e-41,1.0879752712450456e-41,0.9070783815383613,0.09292159503020524,2.343143235194836e-08,0.9999862985639181,1.37014260014831e-05,1.0077615037654168e-11,1.0000000000000142,8.804985738353481e-24,1.7990528218624791e-28,0.9999918985638898,8.100576963442362e-06,8.591485373666167e-10
20160314,0.9999846460422502,1.5353956830083905e-05,9.193919233314067e-13,1.9920363872363104e-05,0.42473066840338214,0.5752494112327968,0.9999581809664141,4.181295188618111e-05,6.081700765034973e-09,0.9999926370806966,4.7023852013482e-06,2.6605341239980534e-06,0.00012568330880531226,0.9984438691964601,0.0014304474947394966,0.9999999183204487,8.167939451314786e-08,1.6286689726645408e-13,1.0000000000000009,2.8141796911502566e-41,1.0771652384781636e-41,0.9071596129833593,0.09284036290252307,2.411411633583379e-08,0.9999860115416078,1.3988448000091416e-05,1.0389307760488448e-11,1.0000000000000142,8.397279201011736e-24,1.6039895242917373e-28,0.9999908454324627,9.153601095089858e-06,9.664438412138615e-10
20160315,0.999984399204354,1.5600794696126006e-05,9.495681117092764e-13,2.1344122425144906e-05,0.424777433699308,0.575201222178318,0.9999552668490065,4.472661383277645e-05,6.537161962027794e-09,0.9999927980140083,4.542420207990472e-06,2.6595658053934653e-06,0.00013005838720267244,0.9985128422764286,0.001357099336373925,0.999999918868745,8.113111418892573e-08,1.4699803261692228e-13,1.0000000000000009,2.828522501406787e-41,1.0864974579931648e-41,0.9072522546134558,0.092747720764429,2.4622114117113945e-08,0.9999857676783013,1.4232311051709975e-05,1.0644277938249976e-11,1.0000000000000142,8.626294551167339e-24,1.564910891968617e-28,0.9999902490346544,9.749961599136819e-06,1.003748281459627e-09
